"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;COMPUTER SCIENCE, SOFTWARE ENGINEERING;COMPUTER SCIENCE, THEORY & METHODS;CONSTRUCTION & BUILDING TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ADVANCES IN ENGINEERING SOFTWARE","ADV ENG SOFTW","0965-9978","1873-5339","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","11,672","4.8","Q1","1.21","11.08"%,
"COMPUTERS & STRUCTURES","COMPUT STRUCT","0045-7949","1879-2243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","17,464","4.7","Q2","1.11","15.35"%,
"IMAGE AND VISION COMPUTING","IMAGE VISION COMPUT","0262-8856","1872-8138","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","6,706","4.7","Q1","1.02","6.81"%,
"IMAGE AND VISION COMPUTING","IMAGE VISION COMPUT","0262-8856","1872-8138","COMPUTER SCIENCE, THEORY & METHODS - SCIE","6,706","4.7","Q1","1.02","6.81"%,
"MATHEMATICS AND COMPUTERS IN SIMULATION","MATH COMPUT SIMULAT","0378-4754","1872-7166","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8,153","4.6","Q2","1.62","5.77"%,
"MATHEMATICS AND COMPUTERS IN SIMULATION","MATH COMPUT SIMULAT","0378-4754","1872-7166","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","8,153","4.6","Q1","1.62","5.77"%,
"STEEL AND COMPOSITE STRUCTURES","STEEL COMPOS STRUCT","1229-9367","1598-6233","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","6,065","4.6","Q1","1.1","0"%,
"COMPUTERS & OPERATIONS RESEARCH","COMPUT OPER RES","0305-0548","1873-765X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","18,281","4.6","Q2","0.88","15.48"%,
"Big Data","BIG DATA-US","2167-6461","N/A","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,318","4.6","Q2","0.78","7.14"%,
"Big Data","BIG DATA-US","2167-6461","N/A","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,318","4.6","Q1","0.78","7.14"%,
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","IEEE ACM T COMPUT BI","1545-5963","1557-9964","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","6,482","4.5","Q2","1.76","15.3"%,
"JOURNAL OF SYSTEMS ARCHITECTURE","J SYST ARCHITECT","1383-7621","1873-6165","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,107","4.5","Q1","1.27","13.2"%,
"JOURNAL OF BIOMEDICAL INFORMATICS","J BIOMED INFORM","1532-0464","1532-0480","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","16,869","4.5","Q2","1.22","61.43"%,
"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","ACM T SOFTW ENG METH","1049-331X","1557-7392","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,684","4.4","Q1","1.25","0"%,
"COMPUTERS & GEOSCIENCES","COMPUT GEOSCI-UK","0098-3004","1873-7803","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","15,212","4.4","Q2","0.84","20.6"%,
"Journal of Sustainable Cement-Based Materials","J SUSTAIN CEM-BASED","2165-0373","2165-0381","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","1,061","4.4","Q2","0.7","2.67"%,
"Cluster Computing-The Journal of Networks Software Tools and Applications","CLUSTER COMPUT","1386-7857","1573-7543","COMPUTER SCIENCE, THEORY & METHODS - SCIE","7,434","4.4","Q1","0.69","6.87"%,
"ACM Transactions on Knowledge Discovery from Data","ACM T KNOWL DISCOV D","1556-4681","1556-472X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,040","4.3","Q1","1.11","0.69"%,
"COMPUTER-AIDED DESIGN","COMPUT AIDED DESIGN","0010-4485","1879-2685","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","6,983","4.3","Q1","0.9","24.47"%,
"COMPUTERS & ELECTRICAL ENGINEERING","COMPUT ELECTR ENG","0045-7906","1879-0755","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","10,378","4.3","Q2","0.89","3.06"%,
"INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE","INT J SYST SCI","0020-7721","1464-5319","COMPUTER SCIENCE, THEORY & METHODS - SCIE","7,082","4.3","Q1","0.8","2.79"%,
"COMPUTERS & CHEMICAL ENGINEERING","COMPUT CHEM ENG","0098-1354","1873-4375","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","16,672","4.3","Q2","0.74","19.28"%,
"Data Science and Engineering","DATA SCI ENG","2364-1185","2364-1541","COMPUTER SCIENCE, THEORY & METHODS - ESCI","555","4.2","N/A","1.07","98.8"%,
"SIMULATION MODELLING PRACTICE AND THEORY","SIMUL MODEL PRACT TH","1569-190X","1878-1462","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","4,354","4.2","Q2","1.07","8.13"%,
"SIMULATION MODELLING PRACTICE AND THEORY","SIMUL MODEL PRACT TH","1569-190X","1878-1462","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","4,354","4.2","Q1","1.07","8.13"%,
"VIRTUAL REALITY","VIRTUAL REAL-LONDON","1359-4338","1434-9957","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,473","4.2","Q2","0.94","34.78"%,
"VIRTUAL REALITY","VIRTUAL REAL-LONDON","1359-4338","1434-9957","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,473","4.2","Q1","0.94","34.78"%,
"Frontiers of Computer Science","FRONT COMPUT SCI-CHI","2095-2228","2095-2236","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,035","4.2","Q1","0.7","0.37"%,
