"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ASTROBIOLOGY","ASTROBIOLOGY","1531-1074","1557-8070","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","5,520","4.2","Q1","0.99","28.31"%,
"Bulletin of Engineering Geology and the Environment","B ENG GEOL ENVIRON","1435-9529","1435-9537","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","10,956","4.2","Q1","0.9","4.22"%,
"International Journal of Precision Engineering and Manufacturing-Green Technology","INT J PR ENG MAN-GT","2288-6206","2198-0810","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","3,255","4.2","Q3","0.85","8.99"%,
"Geothermal Energy","GEOTHERM ENERGY","2195-9706","2195-9706","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","870","4.2","Q1","0.72","100"%,
"BMC Geriatrics","BMC GERIATR","N/A","1471-2318","GERIATRICS & GERONTOLOGY - SCIE","16,787","4.1","Q2","1","99.77"%,
"BMC Geriatrics","BMC GERIATR","N/A","1471-2318","GERONTOLOGY - SSCI","16,787","4.1","Q1","1","99.77"%,
"COLD REGIONS SCIENCE AND TECHNOLOGY","COLD REG SCI TECHNOL","0165-232X","1872-7441","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","9,782","4.1","Q1","0.83","15.54"%,
"Journal of Hydrology X","J HYDROL X","N/A","2589-9155","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","334","4","N/A","1.07","93.75"%,
"SOIL DYNAMICS AND EARTHQUAKE ENGINEERING","SOIL DYN EARTHQ ENG","0267-7261","1879-341X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","19,064","4","Q1","1.07","6.09"%,
"Quaternary Science Reviews","QUATERNARY SCI REV","0277-3791","1873-457X","GEOGRAPHY, PHYSICAL - SCIE","28,037","4","Q1","1.05","35.34"%,
"Quaternary Science Reviews","QUATERNARY SCI REV","0277-3791","1873-457X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","28,037","4","Q1","1.05","35.34"%,
"International Journal of Disaster Risk Science","INT J DISAST RISK SC","2095-0055","2192-6395","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,989","4","Q1","0.96","100"%,
"Journal of Geovisualization and Spatial Analysis","J GEOVIS SPAT ANAL","2509-8810","2509-8829","GEOGRAPHY, PHYSICAL - ESCI","405","4","N/A","0.96","18.6"%,
"Big Earth Data","BIG EARTH DATA","2096-4471","2574-5417","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","651","4","N/A","0.89","99"%,
"BIOGEOCHEMISTRY","BIOGEOCHEMISTRY","0168-2563","1573-515X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","12,645","4","Q1","0.87","31.37"%,
"INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY","INT J GERIATR PSYCH","0885-6230","1099-1166","GERIATRICS & GERONTOLOGY - SCIE","12,028","4","Q2","0.84","27.25"%,
"INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY","INT J GERIATR PSYCH","0885-6230","1099-1166","GERONTOLOGY - SSCI","12,028","4","Q2","0.84","27.25"%,
"AGING CLINICAL AND EXPERIMENTAL RESEARCH","AGING CLIN EXP RES","1594-0667","1720-8319","GERIATRICS & GERONTOLOGY - SCIE","8,308","4","Q2","0.83","26.16"%,
"ARCHIVES OF GERONTOLOGY AND GERIATRICS","ARCH GERONTOL GERIAT","0167-4943","1872-6976","GERIATRICS & GERONTOLOGY - SCIE","9,478","4","Q2","0.83","18.3"%,
"Geoscience Letters","GEOSCI LETT","2196-4092","2196-4092","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","714","4","Q1","0.69","98.84"%,
"Wind Energy Science","WIND ENERGY SCI","2366-7443","2366-7451","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","1,643","4","N/A","0.58","99.38"%,
"GLOBAL AND PLANETARY CHANGE","GLOBAL PLANET CHANGE","0921-8181","1872-6364","GEOGRAPHY, PHYSICAL - SCIE","14,423","3.9","Q2","1.16","25.92"%,
"GLOBAL AND PLANETARY CHANGE","GLOBAL PLANET CHANGE","0921-8181","1872-6364","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","14,423","3.9","Q2","1.16","25.92"%,
"JOURNAL OF BIOGEOGRAPHY","J BIOGEOGR","0305-0270","1365-2699","GEOGRAPHY, PHYSICAL - SCIE","17,967","3.9","Q2","1.08","21.31"%,
"GEOMORPHOLOGY","GEOMORPHOLOGY","0169-555X","1872-695X","GEOGRAPHY, PHYSICAL - SCIE","28,683","3.9","Q2","1.07","24.14"%,
"GEOMORPHOLOGY","GEOMORPHOLOGY","0169-555X","1872-695X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","28,683","3.9","Q2","1.07","24.14"%,
"JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING","J GEOTECH GEOENVIRON","1090-0241","1943-5606","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","21,291","3.9","Q2","1.06","4.55"%,
"JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE","J GEOPHYS RES-EARTH","2169-9003","2169-9011","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","11,152","3.9","Q2","1.03","30.8"%,
"Progress in Physical Geography-Earth and Environment","PROG PHYS GEOG","0309-1333","1477-0296","GEOGRAPHY, PHYSICAL - SCIE","4,839","3.9","Q2","0.89","13.38"%,
"Progress in Physical Geography-Earth and Environment","PROG PHYS GEOG","0309-1333","1477-0296","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","4,839","3.9","Q2","0.89","13.38"%,
"GEOTHERMICS","GEOTHERMICS","0375-6505","1879-3576","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","7,593","3.9","Q2","0.86","23.26"%,
"EXPERIMENTAL GERONTOLOGY","EXP GERONTOL","0531-5565","1873-6815","GERIATRICS & GERONTOLOGY - SCIE","14,001","3.9","Q2","0.85","20.7"%,
"Progress in Earth and Planetary Science","PROG EARTH PLANET SC","2197-4284","2197-4284","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,805","3.9","Q2","0.82","99.51"%,
"Journal of Frailty & Aging","J FRALITY AGING","2260-1341","2273-4309","GERIATRICS & GERONTOLOGY - ESCI","1,066","3.9","N/A","0.71","21.6"%,
"International Journal of Sustainable Transportation","INT J SUSTAIN TRANSP","1556-8318","1556-8334","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","2,866","3.9","Q3","0.7","15.46"%,
"Sustainability","SUSTAINABILITY-BASEL","N/A","2071-1050","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","187,953","3.9","Q3","0.67","99.36"%,
"Sustainability","SUSTAINABILITY-BASEL","N/A","2071-1050","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","187,953","3.9","Q3","0.67","99.36"%,
"International Journal of Greenhouse Gas Control","INT J GREENH GAS CON","1750-5836","1878-0148","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","13,164","3.9","Q3","0.57","33.04"%,
"Canadian Geriatrics Journal","CAN GERIATR J","N/A","1925-8348","GERIATRICS & GERONTOLOGY - ESCI","536","3.9","N/A","0.33","86.9"%,
"PRECAMBRIAN RESEARCH","PRECAMBRIAN RES","0301-9268","1872-7433","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","24,003","3.8","Q2","1.03","10.53"%,
"European Journal of Ageing","EUR J AGEING","1613-9372","1613-9380","GERONTOLOGY - SSCI","2,638","3.8","Q2","0.97","63.51"%,
"Geocarto International","GEOCARTO INT","1010-6049","1752-0762","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","5,332","3.8","Q2","0.73","4.18"%,
"European Geriatric Medicine","EUR GERIATR MED","1878-7649","1878-7657","GERIATRICS & GERONTOLOGY - SCIE","2,169","3.8","Q3","0.64","34.1"%,
"Clean Technologies","CLEAN TECHNOL-BASEL","N/A","2571-8797","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","425","3.8","N/A","0.4","98.73"%,
"PSYCHOLOGY AND AGING","PSYCHOL AGING","0882-7974","1939-1498","GERONTOLOGY - SSCI","11,161","3.7","Q2","1.14","1.65"%,
"Geobiology","GEOBIOLOGY","1472-4677","1472-4669","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,719","3.7","Q2","0.88","24.84"%,
"Soils and Foundations","SOILS FOUND","0038-0806","2524-1788","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","9,885","3.7","Q2","0.83","95.25"%,
"Journal of Geophysical Research-Biogeosciences","J GEOPHYS RES-BIOGEO","2169-8953","2169-8961","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","13,183","3.7","Q2","0.82","19.59"%,
"NATURAL HAZARDS","NAT HAZARDS","0921-030X","1573-0840","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","24,509","3.7","Q2","0.82","11.23"%,
"PHYSICS AND CHEMISTRY OF THE EARTH","PHYS CHEM EARTH","1474-7065","1873-5193","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","6,305","3.7","Q2","0.77","5.72"%,
"International Journal of Sustainable Engineering","INT J SUSTAIN ENG","1939-7038","1939-7046","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","1,760","3.7","N/A","0.45","12.5"%,
"CANADIAN GEOTECHNICAL JOURNAL","CAN GEOTECH J","0008-3674","1208-6010","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","18,801","3.6","Q2","1.03","5.52"%,
"JOURNAL OF CONTAMINANT HYDROLOGY","J CONTAM HYDROL","0169-7722","1873-6009","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","6,476","3.6","Q2","0.89","20.11"%,
"Anthropocene","ANTHROPOCENE","2213-3054","2213-3054","GEOGRAPHY, PHYSICAL - SCIE","1,228","3.6","Q2","0.84","33.64"%,
"Anthropocene","ANTHROPOCENE","2213-3054","2213-3054","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,228","3.6","Q2","0.84","33.64"%,
"Clinical Interventions in Aging","CLIN INTERV AGING","N/A","1178-1998","GERIATRICS & GERONTOLOGY - SCIE","10,229","3.6","Q3","0.79","96.99"%,
"Smart and Sustainable Built Environment","SMART SUSTAIN BUILT","2046-6099","2046-6102","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","906","3.6","N/A","0.54","4.31"%,
"Annals of Geriatric Medicine and Research","ANN GERIATR MED RES","2508-4909","2508-4909","GERIATRICS & GERONTOLOGY - ESCI","528","3.6","N/A","0.53","98.36"%,
"SEDIMENTOLOGY","SEDIMENTOLOGY","0037-0746","1365-3091","GEOLOGY - SCIE","10,413","3.5","Q1","1.64","22.44"%,
"Paleoceanography and Paleoclimatology","PALEOCEANOGR PALEOCL","2572-4517","2572-4525","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,919","3.5","Q2","1.23","28.92"%,
"AAPG BULLETIN","AAPG BULL","0149-1423","1558-9153","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","16,742","3.5","Q2","0.93","0"%,
"BULLETIN OF VOLCANOLOGY","B VOLCANOL","0258-8900","1432-0819","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","6,269","3.5","Q2","0.86","37.94"%,
"GERONTOLOGY","GERONTOLOGY","0304-324X","1423-0003","GERIATRICS & GERONTOLOGY - SCIE","6,225","3.5","Q3","0.82","23.01"%,
"JOURNAL OF METAMORPHIC GEOLOGY","J METAMORPH GEOL","0263-4929","1525-1314","GEOLOGY - SCIE","6,872","3.4","Q1","1.75","19.62"%,
"Earth Surface Dynamics","EARTH SURF DYNAM","2196-6311","2196-632X","GEOGRAPHY, PHYSICAL - SCIE","1,980","3.4","Q2","0.99","97"%,
"Earth Surface Dynamics","EARTH SURF DYNAM","2196-6311","2196-632X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,980","3.4","Q2","0.99","97"%,
"JOURNAL OF GLACIOLOGY","J GLACIOL","0022-1430","1727-5652","GEOGRAPHY, PHYSICAL - SCIE","8,349","3.4","Q2","0.99","100"%,
"JOURNAL OF GLACIOLOGY","J GLACIOL","0022-1430","1727-5652","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","8,349","3.4","Q2","0.99","100"%,
"ISPRS International Journal of Geo-Information","ISPRS INT J GEO-INF","N/A","2220-9964","GEOGRAPHY, PHYSICAL - SCIE","12,499","3.4","Q2","0.79","99.22"%,
"AGING & MENTAL HEALTH","AGING MENT HEALTH","1360-7863","1364-6915","GERIATRICS & GERONTOLOGY - SCIE","10,430","3.4","Q3","0.78","14.24"%,
"AGING & MENTAL HEALTH","AGING MENT HEALTH","1360-7863","1364-6915","GERONTOLOGY - SSCI","10,430","3.4","Q2","0.78","14.24"%,
"International Journal of Agricultural Sustainability","INT J AGR SUSTAIN","1473-5903","1747-762X","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","1,805","3.4","Q4","0.77","40.51"%,
"Applied Computing and Geosciences","APPL COMPUT GEOSCI","2590-1974","2590-1974","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","161","3.4","N/A","0.6","86.89"%,
"American Journal of Alzheimers Disease and Other Dementias","AM J ALZHEIMERS DIS","1533-3175","1938-2731","GERIATRICS & GERONTOLOGY - SCIE","2,898","3.4","Q3","0.59","93.28"%,
"ORE GEOLOGY REVIEWS","ORE GEOL REV","0169-1368","1872-7360","GEOLOGY - SCIE","17,947","3.3","Q1","1.23","38.97"%,
"Aeolian Research","AEOLIAN RES","1875-9637","2212-1684","GEOGRAPHY, PHYSICAL - SCIE","2,710","3.3","Q2","0.98","21.94"%,
"EARTH SURFACE PROCESSES AND LANDFORMS","EARTH SURF PROC LAND","0197-9337","1096-9837","GEOGRAPHY, PHYSICAL - SCIE","14,738","3.3","Q2","0.94","24.2"%,
"EARTH SURFACE PROCESSES AND LANDFORMS","EARTH SURF PROC LAND","0197-9337","1096-9837","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","14,738","3.3","Q2","0.94","24.2"%,
"Journal of Earth Science","J EARTH SCI-CHINA","1674-487X","1867-111X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,729","3.3","Q2","0.73","3.85"%,
"Geriatrics & Gerontology International","GERIATR GERONTOL INT","1444-1586","1447-0594","GERIATRICS & GERONTOLOGY - SCIE","6,894","3.3","Q3","0.69","10.88"%,
"Geriatrics & Gerontology International","GERIATR GERONTOL INT","1444-1586","1447-0594","GERONTOLOGY - SSCI","6,894","3.3","Q2","0.69","10.88"%,
"CLINICS IN GERIATRIC MEDICINE","CLIN GERIATR MED","0749-0690","1879-8853","GERIATRICS & GERONTOLOGY - SCIE","3,779","3.3","Q3","0.67","4.22"%,
"International Journal of Green Energy","INT J GREEN ENERGY","1543-5075","1543-5083","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","3,332","3.3","Q4","0.5","1.78"%,
"Resources-Basel","RESOURCES-BASEL","N/A","2079-9276","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","2,939","3.3","N/A","0.5","99.48"%,
"ACTA GEOLOGICA SINICA-ENGLISH EDITION","ACTA GEOL SIN-ENGL","1000-9515","1755-6724","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","7,154","3.3","Q2","0.42","1.35"%,
"BASIN RESEARCH","BASIN RES","0950-091X","1365-2117","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","4,272","3.2","Q2","0.9","29.53"%,
"JOURNAL OF GERONTOLOGICAL SOCIAL WORK","J GERONTOL SOC WORK","1540-4048","0163-4372","GERONTOLOGY - SSCI","1,862","3.2","Q2","0.78","5.39"%,
"Geoscience Data Journal","GEOSCI DATA J","2049-6060","2049-6060","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","466","3.2","Q2","0.76","79.55"%,
"JOURNAL OF CULTURAL HERITAGE","J CULT HERIT","1296-2074","1778-3674","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","5,595","3.1","Q2","2.1","20.83"%,
"International Journal of Sustainability in Higher Education","INT J SUST HIGHER ED","1467-6370","1758-6739","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","3,234","3.1","Q4","1.1","11.24"%,
"Swiss Journal of Geosciences","SWISS J GEOSCI","1661-8726","1661-8734","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,090","3.1","Q2","1.01","100"%,
"JOURNAL OF STRUCTURAL GEOLOGY","J STRUCT GEOL","0191-8141","1873-1201","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","13,900","3.1","Q2","0.86","21.27"%,
"Earth and Space Science","EARTH SPACE SCI","N/A","2333-5084","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","3,670","3.1","Q2","0.75","77.57"%,
"EPISODES","EPISODES","0705-3797","N/A","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,684","3.1","Q2","0.72","100"%,
"Energy Efficiency","ENERG EFFIC","1570-646X","1570-6478","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","2,616","3.1","Q4","0.5","27.2"%,
"Energy Efficiency","ENERG EFFIC","1570-646X","1570-6478","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","2,616","3.1","Q4","0.5","27.2"%,
"PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","PALAEOGEOGR PALAEOCL","0031-0182","1872-616X","GEOGRAPHY, PHYSICAL - SCIE","28,274","3","Q2","1.07","16.53"%,
"PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","PALAEOGEOGR PALAEOCL","0031-0182","1872-616X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","28,274","3","Q2","1.07","16.53"%,
"DENDROCHRONOLOGIA","DENDROCHRONOLOGIA","1125-7865","1612-0051","GEOGRAPHY, PHYSICAL - SCIE","2,490","3","Q2","0.95","21.34"%,
"EARTH PLANETS AND SPACE","EARTH PLANETS SPACE","N/A","1880-5981","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","6,692","3","Q2","0.8","100"%,
"JOURNAL OF APPLIED GERONTOLOGY","J APPL GERONTOL","0733-4648","1552-4523","GERONTOLOGY - SSCI","3,512","3","Q2","0.8","8.29"%,
"JOURNAL OF ASIAN EARTH SCIENCES","J ASIAN EARTH SCI","1367-9120","1878-5786","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","20,179","3","Q2","0.78","4.13"%,
"Journal of Geriatric Oncology","J GERIATR ONCOL","1879-4068","1879-4076","GERIATRICS & GERONTOLOGY - SCIE","3,069","3","Q3","0.71","15.61"%,
"AMERICAN JOURNAL OF SCIENCE","AM J SCI","0002-9599","1945-452X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","8,809","2.9","Q2","1.05","0"%,
"MARINE GEOLOGY","MAR GEOL","0025-3227","1872-6151","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","15,381","2.9","Q2","0.96","22.99"%,
"ANNALS OF GLACIOLOGY","ANN GLACIOL","0260-3055","1727-5644","GEOGRAPHY, PHYSICAL - SCIE","4,348","2.9","Q3","0.79","100"%,
"ANNALS OF GLACIOLOGY","ANN GLACIOL","0260-3055","1727-5644","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","4,348","2.9","Q2","0.79","100"%,
"Journal of Palaeogeography-English","J PALAEOGEOG-ENGLISH","2095-3836","2524-4507","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","623","2.9","Q2","0.79","96.59"%,
"JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH","J VOLCANOL GEOTH RES","0377-0273","1872-6097","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","15,740","2.9","Q2","0.76","28.14"%,
"Geoheritage","GEOHERITAGE","1867-2477","1867-2485","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,388","2.9","Q2","0.71","18.35"%,
"Frontiers in Earth Science","FRONT EARTH SC-SWITZ","N/A","2296-6463","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","10,648","2.9","Q2","0.68","99.4"%,
"Earth and Planetary Physics","EARTH PLANET PHYS","2096-3955","2096-3955","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","767","2.9","N/A","0.64","97.66"%,
"JOURNAL OF ARCHAEOLOGICAL SCIENCE","J ARCHAEOL SCI","0305-4403","1095-9238","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","15,765","2.8","Q2","1.73","34.62"%,
"SEDIMENTARY GEOLOGY","SEDIMENT GEOL","0037-0738","1879-0968","GEOLOGY - SCIE","12,770","2.8","Q1","1.32","11.29"%,
"JOURNAL OF MARINE SYSTEMS","J MARINE SYST","0924-7963","1879-1573","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","7,507","2.8","Q2","0.9","27.49"%,
"JOURNAL OF AGING AND HEALTH","J AGING HEALTH","0898-2643","1552-6887","GERONTOLOGY - SSCI","4,548","2.8","Q2","0.87","10.15"%,
"HYDROGEOLOGY JOURNAL","HYDROGEOL J","1431-2174","1435-0157","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","9,145","2.8","Q2","0.74","33.07"%,
"Clinical Gerontologist","CLIN GERONTOLOGIST","0731-7115","1545-2301","GERIATRICS & GERONTOLOGY - SCIE","1,975","2.8","Q3","0.72","8.71"%,
"Clinical Gerontologist","CLIN GERONTOLOGIST","0731-7115","1545-2301","GERONTOLOGY - SSCI","1,975","2.8","Q2","0.72","8.71"%,
"DRUGS & AGING","DRUG AGING","1170-229X","1179-1969","GERIATRICS & GERONTOLOGY - SCIE","4,579","2.8","Q3","0.68","27.02"%,
"Environmental Earth Sciences","ENVIRON EARTH SCI","1866-6280","1866-6299","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","27,253","2.8","Q2","0.65","7.48"%,
"Earth Science Informatics","EARTH SCI INFORM","1865-0473","1865-0481","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,835","2.8","Q2","0.63","5.44"%,
"Activities Adaptation & Aging","ACT ADAPT AGING","0192-4788","1544-4368","GERONTOLOGY - ESCI","588","2.8","N/A","0.52","3.49"%,
"Anthropocene Review","ANTHROPOCENE REV","2053-0196","2053-020X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","887","2.8","Q2","0.51","35.8"%,
"Frontiers in Sustainable Cities","FRONT SUSTAIN CITIES","N/A","2624-9634","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","661","2.8","N/A","0.48","100"%,
"Environmental Progress & Sustainable Energy","ENVIRON PROG SUSTAIN","1944-7442","1944-7450","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","5,270","2.8","Q4","0.39","1.5"%,
"Geriatric Nursing","GERIATR NURS","0197-4572","1528-3984","GERIATRICS & GERONTOLOGY - SCIE","2,785","2.7","Q3","0.82","14.83"%,
"Geriatric Nursing","GERIATR NURS","0197-4572","1528-3984","GERONTOLOGY - SSCI","2,785","2.7","Q3","0.82","14.83"%,
"Quaternary Geochronology","QUAT GEOCHRONOL","1871-1014","1878-0350","GEOGRAPHY, PHYSICAL - SCIE","3,862","2.7","Q3","0.81","19.4"%,
"Quaternary Geochronology","QUAT GEOCHRONOL","1871-1014","1878-0350","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","3,862","2.7","Q2","0.81","19.4"%,
"JOURNAL OF THE GEOLOGICAL SOCIETY","J GEOL SOC LONDON","0016-7649","2041-479X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","9,333","2.7","Q2","0.79","19.59"%,
"Natural Hazards Review","NAT HAZARDS REV","1527-6988","1527-6996","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,364","2.7","Q2","0.67","9.21"%,
"Geosciences","GEOSCIENCES","N/A","2076-3263","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","6,791","2.7","N/A","0.65","99.24"%,
"Gerontology and Geriatric Medicine","GERONTOL GERIATR MED","N/A","2333-7214","GERIATRICS & GERONTOLOGY - ESCI","1,132","2.7","N/A","0.56","90.17"%,
"NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW","NETH J GEOSCI","0016-7746","1573-9708","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","748","2.7","Q2","0.53","100"%,
"INTERNATIONAL GEOLOGY REVIEW","INT GEOL REV","0020-6814","1938-2839","GEOLOGY - SCIE","6,547","2.6","Q1","1.18","3.08"%,
"Polar Geography","POLAR GEOGR","1088-937X","1939-0513","GEOGRAPHY, PHYSICAL - ESCI","579","2.6","N/A","0.77","35.42"%,
"BSGF-Earth Sciences Bulletin","BSGF-EARTH SCI B","0037-9409","1777-5817","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","322","2.6","Q3","0.76","100"%,
"JOURNAL OF EARTHQUAKE ENGINEERING","J EARTHQ ENG","1363-2469","1559-808X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","5,419","2.6","Q3","0.75","1.22"%,
"Mathematical Geosciences","MATH GEOSCI","1874-8961","1874-8953","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,701","2.6","Q3","0.74","27.14"%,
"ADVANCES IN SPACE RESEARCH","ADV SPACE RES","0273-1177","1879-1948","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","16,672","2.6","Q3","0.73","19.4"%,
"RESEARCH ON AGING","RES AGING","0164-0275","1552-7573","GERONTOLOGY - SSCI","3,064","2.6","Q3","0.63","10.92"%,
"Groundwater","GROUNDWATER","0017-467X","1745-6584","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","6,540","2.6","Q3","0.61","17.38"%,
"JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY","J GERIATR PSYCH NEUR","0891-9887","1552-5708","GERIATRICS & GERONTOLOGY - SCIE","2,543","2.6","Q3","0.58","10.86"%,
"REJUVENATION RESEARCH","REJUV RES","1549-1684","1557-8577","GERIATRICS & GERONTOLOGY - SCIE","2,454","2.6","Q3","0.58","1.79"%,
"Agroecology and Sustainable Food Systems","AGROECOL SUST FOOD","2168-3565","2168-3573","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","1,478","2.6","Q4","0.57","12.24"%,
"IET Renewable Power Generation","IET RENEW POWER GEN","1752-1416","1752-1424","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","7,246","2.6","Q4","0.52","43.09"%,
"Discover Sustainability","DISCOV SUSTAIN","N/A","2662-9984","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","191","2.6","N/A","0.37","27.97"%,
"GEOSCIENCE CANADA","GEOSCI CAN","0315-0941","1911-4850","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","675","2.6","Q3","0.33","93.75"%,
"AGEING & SOCIETY","AGEING SOC","0144-686X","1469-1779","GERONTOLOGY - SSCI","5,607","2.5","Q3","0.87","39.9"%,
"COMPUTATIONAL GEOSCIENCES","COMPUTAT GEOSCI","1420-0597","1573-1499","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,912","2.5","Q3","0.84","27.44"%,
"Geosphere","GEOSPHERE","1553-040X","1553-040X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","4,149","2.5","Q3","0.76","86.38"%,
"Journal of Geriatric Cardiology","J GERIATR CARDIOL","1671-5411","N/A","GERIATRICS & GERONTOLOGY - SCIE","2,203","2.5","Q4","0.46","0"%,
