"Journal Data Filtered By:  Selected Categories: ENGINEERING, AEROSPACE;ENGINEERING, BIOMEDICAL;ENGINEERING, CHEMICAL;ENGINEERING, CIVIL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"JOURNAL OF CATALYSIS","J CATAL","0021-9517","1090-2694","ENGINEERING, CHEMICAL - SCIE","52,449","7.3","Q1","1.12","18.81"%,
"npj Regenerative Medicine","NPJ REGEN MED","N/A","2057-3995","ENGINEERING, BIOMEDICAL - SCIE","1,765","7.2","Q1","1.53","99.44"%,
"Journal of Water Process Engineering","J WATER PROCESS ENG","2214-7144","2214-7144","ENGINEERING, CHEMICAL - SCIE","17,348","7","Q1","1.11","5.35"%,
"TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY","TUNN UNDERGR SP TECH","0886-7798","1878-4364","ENGINEERING, CIVIL - SCIE","25,062","6.9","Q1","1.47","3.57"%,
"JOURNAL OF COMPUTING IN CIVIL ENGINEERING","J COMPUT CIVIL ENG","0887-3801","1943-5487","ENGINEERING, CIVIL - SCIE","5,900","6.9","Q1","1.34","1.1"%,
"TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","TRANSPORT RES B-METH","0191-2615","1879-2367","ENGINEERING, CIVIL - SCIE","18,547","6.8","Q1","1.66","19.56"%,
"ENERGY AND BUILDINGS","ENERG BUILDINGS","0378-7788","1872-6178","ENGINEERING, CIVIL - SCIE","59,418","6.7","Q1","1.2","16.02"%,
"Current Opinion in Chemical Engineering","CURR OPIN CHEM ENG","2211-3398","2211-3398","ENGINEERING, CHEMICAL - SCIE","3,795","6.6","Q1","0.82","28.63"%,
"Journal of Hydrology","J HYDROL","0022-1694","1879-2707","ENGINEERING, CIVIL - SCIE","86,781","6.4","Q1","1.54","14.35"%,
"Underground Space","UNDERGR SPACE","2096-2754","2467-9674","ENGINEERING, CIVIL - SCIE","1,185","6.4","Q1","1.5","91.16"%,
"THIN-WALLED STRUCTURES","THIN WALL STRUCT","0263-8231","1879-3223","ENGINEERING, CIVIL - SCIE","27,718","6.4","Q1","1.49","4.43"%,
"Journal of Building Engineering","J BUILD ENG","N/A","2352-7102","ENGINEERING, CIVIL - SCIE","27,082","6.4","Q1","1.34","7.43"%,
"Biocybernetics and Biomedical Engineering","BIOCYBERN BIOMED ENG","0208-5216","0208-5216","ENGINEERING, BIOMEDICAL - SCIE","3,069","6.4","Q1","1.13","5.75"%,
"Tissue Engineering Part B-Reviews","TISSUE ENG PART B-RE","1937-3368","1937-3376","ENGINEERING, BIOMEDICAL - SCIE","4,846","6.4","Q1","1.03","9.82"%,
"Case Studies in Construction Materials","CASE STUD CONSTR MAT","2214-5095","2214-5095","ENGINEERING, CIVIL - SCIE","6,876","6.2","Q1","1.07","84.34"%,
"Astrodynamics","ASTRODYNAMICS-CHINA","2522-008X","2522-0098","ENGINEERING, AEROSPACE - ESCI","701","6.1","N/A","1.42","27.27"%,
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","0169-2607","1872-7565","ENGINEERING, BIOMEDICAL - SCIE","18,292","6.1","Q1","1.34","15.14"%,
"Journal of Industrial and Engineering Chemistry","J IND ENG CHEM","1226-086X","1876-794X","ENGINEERING, CHEMICAL - SCIE","27,324","6.1","Q1","0.96","2.56"%,
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","J ANAL APPL PYROL","0165-2370","1873-250X","ENGINEERING, CHEMICAL - SCIE","20,306","6","Q1","1.07","9.73"%,
