"Journal Data Filtered By:  Selected Categories: ENGINEERING, AEROSPACE;ENGINEERING, BIOMEDICAL;ENGINEERING, CHEMICAL;ENGINEERING, CIVIL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT","P I MECH ENG F-J RAI","0954-4097","2041-3017","ENGINEERING, CIVIL - SCIE","3,295","2","Q3","0.44","9.62"%,
"Journal of Medical and Biological Engineering","J MED BIOL ENG","1609-0985","2199-4757","ENGINEERING, BIOMEDICAL - SCIE","1,560","2","Q4","0.41","22.1"%,
"International Journal of Protective Structures","INT J PROT STRUCT","2041-4196","2041-420X","ENGINEERING, CIVIL - ESCI","809","2","N/A","0.38","12.17"%,
"Journal of Advanced Concrete Technology","J ADV CONCR TECHNOL","1346-8014","1347-3913","ENGINEERING, CIVIL - SCIE","2,504","2","Q3","0.37","98.5"%,
"JOURNAL OF COLD REGIONS ENGINEERING","J COLD REG ENG","0887-381X","1943-5495","ENGINEERING, CIVIL - SCIE","670","2","Q3","0.34","3.49"%,
"Journal of Rehabilitation and Assistive Technologies Engineering","J REHABIL ASSIST TER","2055-6683","2055-6683","ENGINEERING, BIOMEDICAL - ESCI","400","2","N/A","0.33","98.99"%,
"JOURNAL OF PROPULSION AND POWER","J PROPUL POWER","0748-4658","1533-3876","ENGINEERING, AEROSPACE - SCIE","7,696","1.9","Q2","0.7","11.29"%,
"AQUA-Water Infrastructure Ecosystems and Society","AQUA-UK","2709-8028","2709-8036","ENGINEERING, CIVIL - SCIE","245","1.9","Q3","0.43","94.97"%,
"Practice Periodical on Structural Design and Construction","PRACT PERIOD STRUCT","1084-0680","1943-5576","ENGINEERING, CIVIL - ESCI","1,070","1.9","N/A","0.43","0.37"%,
"JOURNAL OF SURVEYING ENGINEERING","J SURV ENG","0733-9453","1943-5428","ENGINEERING, CIVIL - SCIE","903","1.9","Q3","0.41","4.9"%,
"COMBUSTION SCIENCE AND TECHNOLOGY","COMBUST SCI TECHNOL","0010-2202","1563-521X","ENGINEERING, CHEMICAL - SCIE","6,283","1.9","Q3","0.4","2.72"%,
"Lubrication Science","LUBR SCI","0954-0075","1557-6833","ENGINEERING, CHEMICAL - SCIE","902","1.9","Q3","0.34","3.01"%,
"CHEMIE INGENIEUR TECHNIK","CHEM-ING-TECH","0009-286X","1522-2640","ENGINEERING, CHEMICAL - SCIE","3,138","1.9","Q3","0.21","68.52"%,
"CLINICAL BIOMECHANICS","CLIN BIOMECH","0268-0033","1879-1271","ENGINEERING, BIOMEDICAL - SCIE","10,213","1.8","Q4","0.63","12.89"%,
"JOURNAL OF THE ASTRONAUTICAL SCIENCES","J ASTRONAUT SCI","0021-9142","2195-0571","ENGINEERING, AEROSPACE - SCIE","1,376","1.8","Q2","0.48","21.2"%,
"MICROGRAVITY SCIENCE AND TECHNOLOGY","MICROGRAVITY SCI TEC","0938-0108","1875-0494","ENGINEERING, AEROSPACE - SCIE","1,506","1.8","Q2","0.48","8.6"%,
"CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS","CIV ENG ENVIRON SYST","1028-6608","1029-0249","ENGINEERING, CIVIL - SCIE","534","1.8","Q3","0.43","22.22"%,
"Cardiovascular Engineering and Technology","CARDIOVASC ENG TECHN","1869-408X","1869-4098","ENGINEERING, BIOMEDICAL - SCIE","1,023","1.8","Q4","0.41","20.39"%,
"COLORATION TECHNOLOGY","COLOR TECHNOL","1472-3581","1478-4408","ENGINEERING, CHEMICAL - SCIE","1,604","1.8","Q3","0.4","3.96"%,
"PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY","PACE","0147-8389","1540-8159","ENGINEERING, BIOMEDICAL - SCIE","5,812","1.8","Q4","0.39","11.15"%,
"Periodica Polytechnica-Civil Engineering","PERIOD POLYTECH-CIV","0553-6626","N/A","ENGINEERING, CIVIL - SCIE","1,372","1.8","Q3","0.39","98.58"%,
"ACI STRUCTURAL JOURNAL","ACI STRUCT J","0889-3241","1944-7361","ENGINEERING, CIVIL - SCIE","9,627","1.8","Q3","0.36","0"%,
"Advances in Civil Engineering","ADV CIV ENG","1687-8086","1687-8094","ENGINEERING, CIVIL - SCIE","8,523","1.8","Q3","0.36","99.09"%,
"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE","P I MECH ENG H","0954-4119","2041-3033","ENGINEERING, BIOMEDICAL - SCIE","3,271","1.8","Q4","0.35","7.34"%,
"IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION","IRAN J CHEM CHEM ENG","1021-9986","1021-9986","ENGINEERING, CHEMICAL - SCIE","1,700","1.8","Q3","0.27","0"%,
"PROPELLANTS EXPLOSIVES PYROTECHNICS","PROPELL EXPLOS PYROT","0721-3115","1521-4087","ENGINEERING, CHEMICAL - SCIE","4,415","1.8","Q3","0.27","8.61"%,
"Asia-Pacific Journal of Chemical Engineering","ASIA-PAC J CHEM ENG","1932-2135","1932-2143","ENGINEERING, CHEMICAL - SCIE","2,132","1.8","Q3","0.24","1.5"%,
"International Journal of Aeronautical and Space Sciences","INT J AERONAUT SPACE","2093-274X","2093-2480","ENGINEERING, AEROSPACE - SCIE","1,003","1.7","Q3","0.56","3.38"%,
"INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING","INT J SATELL COMM N","1542-0973","1542-0981","ENGINEERING, AEROSPACE - SCIE","664","1.7","Q3","0.49","10.45"%,
"International Journal of Civil Engineering","INT J CIV ENG","1735-0522","2383-3874","ENGINEERING, CIVIL - SCIE","1,999","1.7","Q3","0.46","4.09"%,
"JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME","J BIOMECH ENG-T ASME","0148-0731","1528-8951","ENGINEERING, BIOMEDICAL - SCIE","8,682","1.7","Q4","0.43","1.09"%,
"TRANSPORTATION RESEARCH RECORD","TRANSPORT RES REC","0361-1981","2169-4052","ENGINEERING, CIVIL - SCIE","32,941","1.7","Q3","0.4","5.98"%,
"Advanced Steel Construction","ADV STEEL CONSTR","1816-112X","N/A","ENGINEERING, CIVIL - SCIE","603","1.7","Q3","0.39","0"%,
"Iranian Journal of Science and Technology-Transactions of Civil Engineering","IJST-T CIV ENG","2228-6160","2364-1843","ENGINEERING, CIVIL - SCIE","1,489","1.7","Q3","0.38","1.18"%,
"INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS","INT J ARTIF ORGANS","0391-3988","1724-6040","ENGINEERING, BIOMEDICAL - SCIE","2,711","1.7","Q4","0.37","7.2"%,
"Biomedical Engineering-Biomedizinische Technik","BIOMED ENG-BIOMED TE","0013-5585","1862-278X","ENGINEERING, BIOMEDICAL - SCIE","1,473","1.7","Q4","0.3","9.19"%,
"JOURNAL OF SPACECRAFT AND ROCKETS","J SPACECRAFT ROCKETS","0022-4650","1533-6794","ENGINEERING, AEROSPACE - SCIE","5,441","1.6","Q3","0.64","11.78"%,
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS","P I CIVIL ENG-STR B","0965-0911","1751-7702","ENGINEERING, CIVIL - SCIE","1,584","1.6","Q4","0.45","2.1"%,
"TECHNOLOGY AND HEALTH CARE","TECHNOL HEALTH CARE","0928-7329","1878-7401","ENGINEERING, BIOMEDICAL - SCIE","1,991","1.6","Q4","0.38","14.99"%,
"WIND AND STRUCTURES","WIND STRUCT","1226-6116","1598-6225","ENGINEERING, CIVIL - SCIE","1,604","1.6","Q4","0.36","0"%,
"CHINA OCEAN ENGINEERING","CHINA OCEAN ENG","0890-5487","2191-8945","ENGINEERING, CIVIL - SCIE","1,240","1.6","Q4","0.35","84.15"%,
"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING","COMPUT METHOD BIOMEC","1025-5842","1476-8259","ENGINEERING, BIOMEDICAL - SCIE","4,062","1.6","Q4","0.35","20.99"%,
"SURVEY REVIEW","SURV REV","0039-6265","1752-2706","ENGINEERING, CIVIL - SCIE","1,051","1.6","Q4","0.33","2.08"%,
"Membranes and Membrane Technologies","MEMBR MEMBR TECHNOL","2517-7516","2517-7524","ENGINEERING, CHEMICAL - ESCI","291","1.6","N/A","0.29","2.14"%,
"JOURNAL OF SURFACTANTS AND DETERGENTS","J SURFACTANTS DETERG","1097-3958","1558-9293","ENGINEERING, CHEMICAL - SCIE","2,857","1.6","Q3","0.27","5.04"%,
"Computer Methods in Biomechanics and Biomedical Engineering-Imaging and Visualization","COMP M BIO BIO E-IV","2168-1163","2168-1171","ENGINEERING, BIOMEDICAL - ESCI","767","1.6","N/A","0.25","6.93"%,
"Emission Control Science and Technology","EMISS CONTR SCI TECH","2199-3629","2199-3637","ENGINEERING, CHEMICAL - ESCI","332","1.6","N/A","0.24","21.52"%,
"International Journal of Chemical Reactor Engineering","INT J CHEM REACT ENG","2194-5748","1542-6580","ENGINEERING, CHEMICAL - SCIE","1,907","1.6","Q3","0.23","2.66"%,
"AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY","AIRCR ENG AEROSP TEC","1748-8842","1758-4213","ENGINEERING, AEROSPACE - SCIE","1,633","1.5","Q3","0.51","2.7"%,
"Journal of Aerospace Information Systems","J AEROSP INFORM SYST","1940-3151","2327-3097","ENGINEERING, AEROSPACE - SCIE","627","1.5","Q3","0.48","9.36"%,
"JOURNAL OF THE AMERICAN HELICOPTER SOCIETY","J AM HELICOPTER SOC","0002-8711","2161-6027","ENGINEERING, AEROSPACE - SCIE","1,289","1.5","Q3","0.47","0.75"%,
"Earthquakes and Structures","EARTHQ STRUCT","2092-7614","2092-7622","ENGINEERING, CIVIL - SCIE","1,739","1.5","Q4","0.46","0"%,
"Oil & Gas Science and Technology-Revue d IFP Energies nouvelles","OIL GAS SCI TECHNOL","1294-4475","1953-8189","ENGINEERING, CHEMICAL - SCIE","2,214","1.5","Q3","0.38","100"%,
"PETROLEUM SCIENCE AND TECHNOLOGY","PETROL SCI TECHNOL","1091-6466","1532-2459","ENGINEERING, CHEMICAL - SCIE","4,591","1.5","Q3","0.32","0"%,
"International Journal of Steel Structures","INT J STEEL STRUCT","1598-2351","2093-6311","ENGINEERING, CIVIL - SCIE","2,053","1.5","Q4","0.31","3.46"%,
"Revista Mexicana de Ingenieria Quimica","REV MEX ING QUIM","1665-2738","N/A","ENGINEERING, CHEMICAL - SCIE","1,065","1.5","Q3","0.3","85.4"%,
"Macromolecular Reaction Engineering","MACROMOL REACT ENG","1862-832X","1862-8338","ENGINEERING, CHEMICAL - SCIE","916","1.5","Q3","0.27","11.76"%,
"JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY","J MICROWAVE POWER EE","0832-7823","0832-7823","ENGINEERING, CHEMICAL - SCIE","599","1.5","Q3","0.26","5.26"%,
"Bulletin of Chemical Reaction Engineering and Catalysis","BULL CHEM REACT ENG","1978-2993","1978-2993","ENGINEERING, CHEMICAL - ESCI","776","1.5","N/A","0.25","98.15"%,
"CELL AND TISSUE BANKING","CELL TISSUE BANK","1389-9333","1573-6814","ENGINEERING, BIOMEDICAL - SCIE","1,414","1.5","Q4","0.25","13.69"%,
"CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY","CHEM BIOCHEM ENG Q","0352-9568","1846-5153","ENGINEERING, CHEMICAL - SCIE","1,021","1.5","Q3","0.24","98.7"%,
"Indian Chemical Engineer","INDIAN CHEM ENG","0019-4506","0975-007X","ENGINEERING, CHEMICAL - ESCI","364","1.5","N/A","0.21","0"%,
"CHEMICAL & ENGINEERING NEWS","CHEM ENG NEWS","0009-2347","1520-605X","ENGINEERING, CHEMICAL - SCIE","1,292","1.5","Q3","0.05","0"%,
"CIVIL ENGINEERING","CIVIL ENG","0885-7024","0885-7024","ENGINEERING, CIVIL - SCIE","506","1.5","Q4","0.01","0"%,
"CEAS Space Journal","CEAS SPACE J","1868-2502","1868-2510","ENGINEERING, AEROSPACE - ESCI","512","1.4","N/A","0.5","49.74"%,
"International Journal of Micro Air Vehicles","INT J MICRO AIR VEH","1756-8293","1756-8307","ENGINEERING, AEROSPACE - SCIE","478","1.4","Q3","0.5","95.65"%,
"AERONAUTICAL JOURNAL","AERONAUT J","0001-9240","2059-6464","ENGINEERING, AEROSPACE - SCIE","1,869","1.4","Q3","0.47","19.81"%,
"International Journal of Aerospace Engineering","INT J AEROSPACE ENG","1687-5966","1687-5974","ENGINEERING, AEROSPACE - SCIE","1,633","1.4","Q3","0.44","98.43"%,
"JOURNAL OF SHIP RESEARCH","J SHIP RES","0022-4502","1542-0604","ENGINEERING, CIVIL - SCIE","1,227","1.4","Q4","0.43","0"%,
"Journal of Applied Biomechanics","J APPL BIOMECH","1065-8483","1543-2688","ENGINEERING, BIOMEDICAL - SCIE","2,787","1.4","Q4","0.42","0"%,
"International Journal of Turbomachinery Propulsion and Power","INT J TURBOMACH PROP","N/A","2504-186X","ENGINEERING, AEROSPACE - ESCI","232","1.4","N/A","0.37","99.08"%,
"CANADIAN JOURNAL OF CIVIL ENGINEERING","CAN J CIVIL ENG","0315-1468","1208-6029","ENGINEERING, CIVIL - SCIE","4,876","1.4","Q4","0.35","1.32"%,
"Journal of Medical Signals & Sensors","J MED SIGNALS SENS","2228-7477","2228-7477","ENGINEERING, BIOMEDICAL - ESCI","513","1.4","N/A","0.26","68.63"%,
"Revista de la Construccion","REV CONSTR","0718-915X","0718-915X","ENGINEERING, CIVIL - SCIE","407","1.4","Q4","0.24","51.33"%,
"PETROLEUM CHEMISTRY","PETROL CHEM+","0965-5441","1555-6239","ENGINEERING, CHEMICAL - SCIE","1,801","1.4","Q4","0.23","10.63"%,
"Pigment & Resin Technology","PIGM RESIN TECHNOL","0369-9420","1758-6941","ENGINEERING, CHEMICAL - SCIE","1,093","1.4","Q4","0.21","0.31"%,
"TURKISH JOURNAL OF CHEMISTRY","TURK J CHEM","1300-0527","1300-0527","ENGINEERING, CHEMICAL - SCIE","1,998","1.4","Q4","0.19","0"%,
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER","P I CIVIL ENG-MUNIC","0965-0903","1751-7699","ENGINEERING, CIVIL - SCIE","377","1.3","Q4","0.43","4.55"%,
"JOURNAL OF ARTIFICIAL ORGANS","J ARTIF ORGANS","1434-7229","1619-0904","ENGINEERING, BIOMEDICAL - SCIE","1,016","1.3","Q4","0.32","17.17"%,
"COMBUSTION THEORY AND MODELLING","COMBUST THEOR MODEL","1364-7830","1741-3559","ENGINEERING, CHEMICAL - SCIE","1,468","1.3","Q4","0.3","8.52"%,
"Australian Journal of Civil Engineering","AUST J CIV ENG","1448-8353","2204-2245","ENGINEERING, CIVIL - ESCI","297","1.3","N/A","0.27","0"%,
"Medical Devices-Evidence and Research","MED DEVICES-EVID RES","1179-1470","1179-1470","ENGINEERING, BIOMEDICAL - ESCI","1,077","1.3","N/A","0.25","98.29"%,
"PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING","PERIOD POLYTECH-CHEM","0324-5853","1587-3765","ENGINEERING, CHEMICAL - SCIE","646","1.3","Q4","0.25","99.44"%,
"International Journal of Structural Engineering","INT J STRUCT ENG","1758-7328","1758-7336","ENGINEERING, CIVIL - ESCI","145","1.3","N/A","0.23","0"%,
"Teknik Dergi","TEK DERGI","1300-3453","1300-3453","ENGINEERING, CIVIL - SCIE","275","1.3","Q4","0.23","96.08"%,
"INTERNATIONAL POLYMER PROCESSING","INT POLYM PROC","0930-777X","2195-8602","ENGINEERING, CHEMICAL - SCIE","1,215","1.3","Q4","0.2","1.13"%,
"Structural Monitoring and Maintenance, An International Journal","STRUCT MONIT MAINT","2288-6605","2288-6613","ENGINEERING, CIVIL - ESCI","293","1.2","N/A","0.4","0"%,
"Proceedings of the Institution of Civil Engineers-Engineering Sustainability","P I CIVIL ENG-ENG SU","1478-4629","1751-7680","ENGINEERING, CIVIL - SCIE","600","1.2","Q4","0.37","3.26"%,
"Latin American Journal of Solids and Structures","LAT AM J SOLIDS STRU","1679-7825","1679-7825","ENGINEERING, CIVIL - SCIE","1,713","1.2","Q4","0.31","97.18"%,
"ATOMIZATION AND SPRAYS","ATOMIZATION SPRAY","1044-5110","1936-2684","ENGINEERING, CHEMICAL - SCIE","1,593","1.2","Q4","0.29","0"%,
"Civil and Environmental Engineering","CIV ENVIRON ENG","1336-5835","2199-6512","ENGINEERING, CIVIL - ESCI","256","1.2","N/A","0.25","98.89"%,
"BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING","BRAZ J CHEM ENG","0104-6632","1678-4383","ENGINEERING, CHEMICAL - SCIE","2,847","1.2","Q4","0.22","2.48"%,
"COMBUSTION EXPLOSION AND SHOCK WAVES","COMBUST EXPLO SHOCK+","0010-5082","1573-8345","ENGINEERING, CHEMICAL - SCIE","2,572","1.2","Q4","0.19","0.4"%,
"Chemical Industry & Chemical Engineering Quarterly","CHEM IND CHEM ENG Q","1451-9372","2217-7434","ENGINEERING, CHEMICAL - SCIE","746","1.2","Q4","0.16","99.12"%,
"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING","P I MECH ENG G-J AER","0954-4100","2041-3025","ENGINEERING, AEROSPACE - SCIE","3,277","1.1","Q4","0.38","2.77"%,
"BIORHEOLOGY","BIORHEOLOGY","0006-355X","1878-5034","ENGINEERING, BIOMEDICAL - SCIE","1,440","1.1","Q4","0.36","0"%,
"Proceedings of the Institution of Civil Engineers-Engineering and Computational Mechanics","P I CIV ENG-ENG COMP","1755-0777","1755-0785","ENGINEERING, CIVIL - ESCI","164","1.1","N/A","0.33","0"%,
"TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES","T JPN SOC AERONAUT S","0549-3811","0549-3811","ENGINEERING, AEROSPACE - SCIE","649","1.1","Q4","0.27","100"%,
"Australian Journal of Structural Engineering","AUST J STRUCT ENG","1328-7982","2204-2261","ENGINEERING, CIVIL - ESCI","457","1.1","N/A","0.25","2.17"%,
"Beton- und Stahlbetonbau","BETON- STAHLBETONBAU","0005-9900","1437-1006","ENGINEERING, CIVIL - SCIE","864","1.1","Q4","0.25","0"%,
"Desalination and Water Treatment","DESALIN WATER TREAT","1944-3994","1944-3986","ENGINEERING, CHEMICAL - SCIE","19,730","1.1","Q4","0.25","0"%,
"International Journal of Biomedical Engineering and Technology","INT J BIOMED ENG TEC","1752-6418","1752-6426","ENGINEERING, BIOMEDICAL - ESCI","627","1.1","N/A","0.24","0"%,
"Baltic Journal of Road and Bridge Engineering","BALT J ROAD BRIDGE E","1822-427X","1822-4288","ENGINEERING, CIVIL - SCIE","456","1.1","Q4","0.23","97.6"%,
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT","P I CIVIL ENG-WAT M","1741-7589","1751-7729","ENGINEERING, CIVIL - SCIE","710","1.1","Q4","0.22","3.45"%,
"Structural Engineering International","STRUCT ENG INT","1016-8664","1683-0350","ENGINEERING, CIVIL - SCIE","1,376","1.1","Q4","0.22","5.06"%,
"Jordan Journal of Civil Engineering","JORDAN J CIV ENG","1993-0461","2225-157X","ENGINEERING, CIVIL - ESCI","556","1.1","N/A","0.21","0"%,
"Gradevinar","GRADEVINAR","0350-2465","1333-9095","ENGINEERING, CIVIL - SCIE","655","1.1","Q4","0.17","86.01"%,
"Journal of Applied Engineering Sciences","J APPL ENG SCI","2247-3769","2284-7197","ENGINEERING, CIVIL - ESCI","153","1.1","N/A","0.17","79.73"%,
"LATIN AMERICAN APPLIED RESEARCH","LAT AM APPL RES","0327-0793","1851-8796","ENGINEERING, CHEMICAL - SCIE","430","1.1","Q4","0.12","58.9"%,
"Advances in Aircraft and Spacecraft Science","ADV AIRCR SPACECR SC","2287-528X","2287-5271","ENGINEERING, AEROSPACE - ESCI","207","1","N/A","0.5","0"%,
"International Journal of Aeroacoustics","INT J AEROACOUST","1475-472X","2048-4003","ENGINEERING, AEROSPACE - SCIE","672","1","Q4","0.42","13.48"%,
"Proceedings of the Institution of Civil Engineers-Bridge Engineering","PROC INST CIV ENG-BR","1478-4637","1751-7664","ENGINEERING, CIVIL - ESCI","318","1","N/A","0.31","6.19"%,
"Aviation","AVIATION","1648-7788","1822-4180","ENGINEERING, AEROSPACE - ESCI","198","1","N/A","0.27","98.73"%,
"Acta of Bioengineering and Biomechanics","ACTA BIOENG BIOMECH","1509-409X","N/A","ENGINEERING, BIOMEDICAL - SCIE","938","1","Q4","0.26","86.67"%,
"Magazine of Civil Engineering","MAG CIV ENG","2712-8172","2071-0305","ENGINEERING, CIVIL - ESCI","623","1","N/A","0.24","0"%,
"BIO-MEDICAL MATERIALS AND ENGINEERING","BIO-MED MATER ENG","0959-2989","1878-3619","ENGINEERING, BIOMEDICAL - SCIE","1,839","1","Q4","0.2","1.83"%,
"Membrane and Water Treatment","MEMBR WATER TREAT","2005-8624","2092-7037","ENGINEERING, CHEMICAL - SCIE","339","1","Q4","0.19","0"%,
"PROCESS SAFETY PROGRESS","PROCESS SAF PROG","1066-8527","1547-5913","ENGINEERING, CHEMICAL - SCIE","1,131","1","Q4","0.17","4.2"%,
"Civil Engineering Infrastructures Journal-CEIJ","CIV ENG INFRASTRUCT","2322-2093","2423-6691","ENGINEERING, CIVIL - ESCI","189","1","N/A","0.16","0"%,
"Polish Journal of Chemical Technology","POL J CHEM TECHNOL","1509-8117","1899-4741","ENGINEERING, CHEMICAL - SCIE","893","1","Q4","0.16","90.74"%,
"Advanced Biomedical Engineering","ADV BIOMED ENG","2187-5219","2187-5219","ENGINEERING, BIOMEDICAL - ESCI","137","1","N/A","0.15","100"%,
"TENSIDE SURFACTANTS DETERGENTS","TENSIDE SURFACT DET","0932-3414","2195-8564","ENGINEERING, CHEMICAL - SCIE","679","1","Q4","0.14","2.31"%,
"Macedonian Journal of Chemistry and Chemical engineering","MACED J CHEM CHEM EN","1857-5552","1857-5625","ENGINEERING, CHEMICAL - SCIE","278","1","Q4","0.13","93.33"%,
"INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES","INT J TURBO JET ENG","0334-0082","2191-0332","ENGINEERING, AEROSPACE - SCIE","577","0.9","Q4","0.39","0"%,
"Chinese Space Science and Technology","CHIN SPACE SCI TECHN","1000-758X","1000-758X","ENGINEERING, AEROSPACE - ESCI","422","0.9","N/A","0.3","0"%,
"BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS","BIOMED ENG-APP BAS C","1016-2372","1793-7132","ENGINEERING, BIOMEDICAL - ESCI","400","0.9","N/A","0.17","0.65"%,
"Journal of Medical Devices-Transactions of the ASME","J MED DEVICES","1932-6181","1932-619X","ENGINEERING, BIOMEDICAL - SCIE","839","0.9","Q4","0.17","1.66"%,
"Chemical Product and Process Modeling","CHEM PROD PROCESS MO","1934-2659","2194-6159","ENGINEERING, CHEMICAL - ESCI","337","0.9","N/A","0.15","0"%,
"China Petroleum Processing & Petrochemical Technology","CHINA PET PROCESS PE","1008-6234","N/A","ENGINEERING, CHEMICAL - SCIE","351","0.9","Q4","0.15","0"%,
"Hemijska Industrija","HEM IND","0367-598X","2217-7426","ENGINEERING, CHEMICAL - SCIE","533","0.9","Q4","0.12","93.9"%,
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING","P I CIVIL ENG-CIV EN","0965-089X","1751-7672","ENGINEERING, CIVIL - SCIE","583","0.8","Q4","0.33","4.42"%,
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT","P I CIVIL ENG-TRANSP","0965-092X","1751-7710","ENGINEERING, CIVIL - SCIE","616","0.8","Q4","0.32","9.09"%,
"INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING","INT J OFFSHORE POLAR","1053-5381","1053-5381","ENGINEERING, CIVIL - SCIE","872","0.8","Q4","0.26","0"%,
"International Journal of Aviation Aeronautics and Aerospace","INT J AVIAT AERONAUT","2374-6793","2374-6793","ENGINEERING, AEROSPACE - ESCI","185","0.8","N/A","0.21","17.89"%,
"Proceedings of the Institution of Civil Engineers-Forensic Engineering","PROC INST CIV ENG-FO","2043-9903","2043-9911","ENGINEERING, CIVIL - ESCI","116","0.8","N/A","0.2","3.77"%,
"Journal of Mechanics in Medicine and Biology","J MECH MED BIOL","0219-5194","1793-6810","ENGINEERING, BIOMEDICAL - SCIE","1,274","0.8","Q4","0.18","45.74"%,
"Journal of the International Association for Shell and Spatial Structures","J INT ASSOC SHELL SP","1028-365X","1996-9015","ENGINEERING, CIVIL - ESCI","333","0.8","N/A","0.17","0"%,
"Biomaterials and Biomechanics in Bioengineering","BIOMATER BIOMECH BIO","2465-9835","2465-9959","ENGINEERING, BIOMEDICAL - ESCI","32","0.8","N/A","0.13","0"%,
"Central European Journal of Energetic Materials","CENT EUR J ENERG MAT","1733-7178","N/A","ENGINEERING, CHEMICAL - SCIE","585","0.8","Q4","0.13","97.44"%,
"JOURNAL OF CHEMICAL ENGINEERING OF JAPAN","J CHEM ENG JPN","0021-9592","1881-1299","ENGINEERING, CHEMICAL - SCIE","2,463","0.8","Q4","0.12","0"%,
"THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING","THEOR FOUND CHEM EN+","0040-5795","1608-3431","ENGINEERING, CHEMICAL - SCIE","1,086","0.8","Q4","0.12","0"%,
"ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION","ENG J AISC","0013-8029","0013-8029","ENGINEERING, CIVIL - SCIE","597","0.8","Q4","0.11","0"%,
"New Space-The Journal of Space Entrepreneurship and Innovation","NEW SPACE","2168-0256","2168-0264","ENGINEERING, AEROSPACE - ESCI","175","0.7","N/A","0.25","5.88"%,
"ISOKINETICS AND EXERCISE SCIENCE","ISOKINET EXERC SCI","0959-3020","1878-5913","ENGINEERING, BIOMEDICAL - SCIE","700","0.7","Q4","0.24","4.48"%,
"Archives of Civil Engineering","ARCH CIV ENG","1230-2945","2300-3103","ENGINEERING, CIVIL - ESCI","530","0.7","N/A","0.18","0"%,
"International Journal of Energetic Materials and Chemical Propulsion","INT J ENERG MATER CH","2150-766X","2150-7678","ENGINEERING, AEROSPACE - ESCI","262","0.7","N/A","0.18","0"%,
"International Journal of GEOMATE","INT J GEOMATE","2186-2982","2186-2990","ENGINEERING, CIVIL - ESCI","1,492","0.7","N/A","0.15","85.65"%,
"Journal of Biomimetics Biomaterials and Biomedical Engineering","J BIOMIM BIOMATER BI","2296-9837","2296-9845","ENGINEERING, BIOMEDICAL - ESCI","250","0.7","N/A","0.15","0"%,
"Civil and Environmental Engineering Reports","CIV ENVIRON ENG REP","2080-5187","2450-8594","ENGINEERING, CIVIL - ESCI","254","0.7","N/A","0.14","98.4"%,
"Bautechnik","BAUTECHNIK","0932-8351","1437-0999","ENGINEERING, CIVIL - SCIE","552","0.7","Q4","0.13","0"%,
"Catalysis in Industry","CATAL IND","2070-0504","2070-0555","ENGINEERING, CHEMICAL - ESCI","372","0.7","N/A","0.11","0"%,
"Journal AWWA","J AWWA","0003-150X","1551-8833","ENGINEERING, CIVIL - SCIE","3,296","0.7","Q4","0.11","0"%,
"Journal of Combustion","J COMBUST","2090-1968","2090-1976","ENGINEERING, CHEMICAL - ESCI","209","0.7","N/A","0.11","100"%,
