"Journal Data Filtered By:  Selected Categories: COMMUNICATION;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"COMPUTER VISION AND IMAGE UNDERSTANDING","COMPUT VIS IMAGE UND","1077-3142","1090-235X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,919","4.5","Q2","0.98","19.74"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","1081-0730","1087-0415","COMMUNICATION - SSCI","6,850","4.4","Q1","1.21","7.6"%,
"International Journal of Fuzzy Systems","INT J FUZZY SYST","1562-2479","2199-3211","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,567","4.3","Q2","0.87","3.58"%,
"ROBOTICS AND AUTONOMOUS SYSTEMS","ROBOT AUTON SYST","0921-8890","1872-793X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","9,742","4.3","Q2","0.84","17.37"%,
"COMPUTER SPEECH AND LANGUAGE","COMPUT SPEECH LANG","0885-2308","1095-8363","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,627","4.3","Q2","0.68","16.08"%,
"International Journal of Automation and Computing","INT J AUTOM COMPUT","1476-8186","1751-8520","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,726","4.3","N/A","0.57","20.9"%,
"MEDIA PSYCHOLOGY","MEDIA PSYCHOL","1521-3269","1532-785X","COMMUNICATION - SSCI","2,951","4.2","Q1","2.86","23.66"%,
"Information Communication & Society","INFORM COMMUN SOC","1369-118X","1468-4462","COMMUNICATION - SSCI","7,578","4.2","Q1","1.99","24.61"%,
"PUBLIC RELATIONS REVIEW","PUBLIC RELAT REV","0363-8111","1873-4537","COMMUNICATION - SSCI","5,674","4.2","Q1","1.41","5.3"%,
"Profesional de la Informacion","PROF INFORM","1386-6710","1699-2407","COMMUNICATION - SSCI","2,530","4.2","Q1","1.12","18.4"%,
"Progress in Artificial Intelligence","PROG ARTIF INTELL","2192-6352","2192-6360","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,007","4.2","N/A","0.42","15.05"%,
